Table 6.5 Percentile rank of detailed occupations by skills category, 2023;;;;;;;;;;;;;;;;;;
2023 National Employment Matrix title;2023 National Employment Matrix code;Adaptability;Computers and information technology;Creativity and innovation;Critical and analytical thinking;Customer service;Detail oriented;Fine motor;Interpersonal;Leadership;Mathematics;Mechanical;Physical strength and stamina;Problem solving and decision making;Project management;Science;Speaking and listening;Writing and reading
Postal service clerks;43-5051;41;35;11;24;92;29;53;49;20;74;38;68;10;25;15;44;41
Postal service mail carriers;43-5052;5;5;1;4;62;53;63;10;0;3;35;78;7;0;9;13;5
Postal service mail sorters, processors, and processing machine operators;43-5053;6;15;1;10;9;11;74;21;8;5;49;81;4;0;4;8;17
Production, planning, and expediting clerks;43-5061;50;61;45;46;36;80;34;39;27;57;30;32;58;81;5;39;54
Shipping, receiving, and inventory clerks;43-5071;10;51;23;17;56;37;51;31;45;42;51;66;17;63;20;24;35
Weighers, measurers, checkers, and samplers, recordkeeping;43-5111;30;44;24;36;34;76;56;44;68;83;61;55;12;53;43;28;44
Executive secretaries and executive administrative assistants;43-6011;57;78;65;33;49;33;42;81;18;57;19;24;30;87;10;65;68
Legal secretaries and administrative assistants;43-6012;25;55;11;23;35;40;32;48;6;17;10;20;9;23;0;51;65
Medical secretaries and administrative assistants;43-6013;45;72;18;33;91;33;40;83;31;31;23;15;25;69;27;66;56
Secretaries and administrative assistants, except legal, medical, and executive;43-6014;33;76;23;23;53;26;34;70;10;27;18;17;16;36;15;65;64
Data entry keyers;43-9021;79;71;42;34;34;89;62;61;36;33;23;34;25;30;6;31;51
Word processors and typists;43-9022;21;75;19;14;64;38;52;51;2;35;27;23;2;31;0;26;46
Desktop publishers;43-9031;61;93;95;53;19;52;52;32;34;24;38;29;29;57;2;42;61
Insurance claims and policy processing clerks;43-9041;33;74;4;35;51;43;31;56;2;53;7;18;33;5;8;37;53
Mail clerks and mail machine operators, except postal service;43-9051;20;34;9;6;47;64;66;39;19;35;58;65;28;5;4;20;26
Office clerks, general;43-9061;38;50;12;19;50;45;34;50;6;48;24;25;7;34;9;48;49
Office machine operators, except computer;43-9071;11;45;26;13;42;10;52;23;22;58;71;47;6;58;8;15;33
Proofreaders and copy markers;43-9081;7;47;6;12;2;60;30;1;1;3;6;4;5;2;3;36;68
Statistical assistants;43-9111;43;97;35;70;31;55;15;43;33;99;7;10;39;24;37;49;75
Office and administrative support workers, all other[1];43-9199;39;52;13;20;49;47;37;51;6;47;25;26;9;29;9;45;49
First-line supervisors of farming, fishing, and forestry workers;45-1011;35;34;38;49;37;40;62;43;86;61;81;73;70;93;85;47;42
Agricultural inspectors;45-2011;50;47;24;61;60;70;49;45;43;55;49;56;64;35;75;46;55
Animal breeders;45-2021;8;33;6;18;24;17;46;21;3;41;48;77;30;43;85;11;16
Graders and sorters, agricultural products;45-2041;0;9;0;0;3;1;56;2;10;2;39;61;1;3;31;2;2
Agricultural equipment operators;45-2091;3;15;28;5;6;10;68;46;58;7;90;75;1;10;74;16;2
Farmworkers and laborers, crop, nursery, and greenhouse;45-2092;7;18;35;23;17;5;90;21;34;28;79;99;2;52;74;15;21
Farmworkers, farm, ranch, and aquacultural animals;45-2093;12;21;31;31;26;16;66;7;39;33;80;85;29;47;81;19;20
Agricultural workers, all other[1];45-2099;7;19;30;21;18;8;81;18;36;27;78;96;5;45;75;16;18
Fishing and hunting workers;45-3031;3;15;30;9;24;13;82;1;7;4;77;92;23;22;68;7;4
Forest and conservation workers;45-4011;49;41;35;24;36;20;54;28;35;17;71;87;39;19;76;35;23
Fallers;45-4021;4;0;2;6;0;40;91;6;1;33;82;99;38;3;54;2;0
Logging equipment operators;45-4022;16;8;22;12;15;49;93;34;52;28;95;64;52;46;34;2;11
Log graders and scalers;45-4023;24;35;29;38;37;46;68;27;34;74;63;62;51;58;48;24;31
Logging workers, all other[1];45-4029;14;9;19;13;13;48;91;28;36;35;91;71;50;38;39;4;9
First-line supervisors of construction trades and extraction workers;47-1011;66;33;59;60;65;76;54;62;91;71;79;58;88;86;66;52;43
Boilermakers;47-2011;9;15;43;56;26;44;97;46;48;61;97;94;43;46;72;26;28
Brickmasons and blockmasons;47-2021;15;8;40;31;32;58;71;19;69;72;69;99;23;80;53;16;17
Stonemasons;47-2022;1;0;54;30;6;3;80;39;81;67;68;99;36;65;54;20;25
Carpenters;47-2031;43;26;53;48;44;88;86;47;75;82;79;91;48;76;67;31;32
Carpet installers;47-2041;21;1;33;24;43;45;77;20;41;76;66;96;46;27;30;9;5
Floor layers, except carpet, wood, and hard tiles;47-2042;8;1;42;19;39;12;69;9;39;39;50;78;37;26;49;7;10
Floor sanders and finishers;47-2043;25;7;33;8;48;55;95;12;65;27;77;98;41;53;37;8;10
Tile and stone setters;47-2044;20;2;55;26;10;61;81;5;30;68;63;92;15;38;37;10;11
Cement masons and concrete finishers;47-2051;10;13;16;16;39;73;89;12;71;51;73;98;25;77;42;16;2
Terrazzo workers and finishers;47-2053;6;1;27;10;20;61;82;14;54;44;76;95;7;50;68;1;1
Construction laborers;47-2061;4;9;19;13;41;54;74;22;47;8;86;90;19;64;32;18;16
Paving, surfacing, and tamping equipment operators;47-2071;16;10;30;13;31;35;79;16;50;22;89;85;12;20;68;14;2
Pile driver operators;47-2072;13;14;23;12;20;85;94;16;24;43;93;83;36;25;61;22;4
Operating engineers and other construction equipment operators;47-2073;49;8;37;28;52;88;88;42;69;26;94;70;63;72;40;15;17
Drywall and ceiling tile installers;47-2081;2;2;18;13;16;43;79;9;21;49;61;97;15;14;33;8;7
Tapers;47-2082;0;0;6;2;11;3;58;1;13;2;55;84;6;3;17;2;1
Electricians;47-2111;61;26;69;69;58;81;96;48;91;80;96;97;82;93;53;30;44
Glaziers;47-2121;8;10;37;25;45;72;75;25;56;43;74;91;33;45;41;5;15
Insulation workers, floor, ceiling, and wall;47-2131;6;3;31;11;40;9;63;16;33;29;73;96;16;19;27;4;9
Insulation workers, mechanical;47-2132;42;13;52;20;41;18;66;36;66;48;65;95;24;54;52;13;9
Painters, construction and maintenance;47-2141;21;12;53;24;33;24;72;47;74;30;60;94;11;57;68;17;17
Paperhangers;47-2142;19;4;30;6;26;24;65;22;20;27;53;93;19;12;55;4;3
Pipelayers;47-2151;15;4;36;16;33;78;83;33;38;45;93;92;30;18;79;26;14
Plumbers, pipefitters, and steamfitters;47-2152;29;23;50;48;39;52;92;25;62;63;92;94;72;63;75;10;22
Plasterers and stucco masons;47-2161;9;6;49;15;23;32;83;41;57;27;67;97;17;44;30;4;11
Reinforcing iron and rebar workers;47-2171;12;5;26;24;19;23;85;6;72;45;62;100;9;40;45;1;4
Roofers;47-2181;27;8;46;22;56;63;69;32;73;37;73;99;22;57;56;15;10
Sheet metal workers;47-2211;18;26;45;38;54;88;85;37;92;85;91;89;12;64;57;12;18
Structural iron and steel workers;47-2221;28;2;36;19;27;83;98;42;54;54;78;100;28;29;44;25;11
Solar photovoltaic installers;47-2231;19;16;48;39;41;61;73;32;64;48;89;89;47;54;54;13;19
Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters;47-3011;6;1;22;10;15;33;83;12;40;40;77;97;10;35;43;3;3
Helpers--carpenters;47-3012;21;5;63;24;25;65;71;13;26;59;86;90;29;27;57;20;9
Helpers--electricians;47-3013;33;26;50;38;49;54;87;40;63;47;94;94;30;78;77;31;12
Helpers--painters, paperhangers, plasterers, and stucco masons;47-3014;2;0;5;2;6;4;61;10;16;0;61;96;7;2;18;8;1
Helpers--pipelayers, plumbers, pipefitters, and steamfitters;47-3015;26;4;40;9;46;19;71;18;24;46;79;91;11;48;36;1;3
Helpers--roofers;47-3016;30;11;39;12;44;62;76;42;71;47;79;97;10;56;45;20;7
Helpers, construction trades, all other[1];47-3019;26;11;43;22;40;40;78;25;41;44;86;93;19;53;60;18;6
Construction and building inspectors;47-4011;41;48;33;67;63;39;20;25;42;81;47;48;56;21;72;54;58
Elevator and escalator installers and repairers;47-4021;46;47;47;59;65;92;90;21;41;43;100;90;87;47;72;22;31
Fence erectors;47-4031;5;8;25;16;49;70;76;31;72;42;74;97;10;45;47;16;4
Hazardous materials removal workers;47-4041;53;23;59;52;48;47;71;59;61;39;79;83;12;55;78;39;40
Highway maintenance workers;47-4051;3;22;29;12;81;64;87;62;68;30;78;94;28;51;58;26;13
Rail-track laying and maintenance equipment operators;47-4061;18;14;47;29;31;51;88;35;72;35;92;96;37;67;65;19;17
Septic tank servicers and sewer pipe cleaners;47-4071;10;17;16;19;67;8;85;27;16;46;89;91;37;29;65;13;19
Miscellaneous construction and related workers[1];47-4090;21;29;35;41;67;50;59;47;58;51;72;81;37;41;66;35;32
Derrick operators, oil and gas;47-5011;17;10;19;29;28;23;96;32;63;55;93;99;45;26;62;30;20
Rotary drill operators, oil and gas;47-5012;34;8;41;43;37;95;91;35;90;62;92;84;65;27;64;39;43
Service unit operators, oil and gas;47-5013;36;26;38;38;41;88;93;65;95;77;95;94;83;70;76;32;40
Excavating and loading machine and dragline operators, surface mining;47-5022;16;7;26;23;12;46;99;40;67;29;94;75;40;45;34;18;26
Earth drillers, except oil and gas;47-5023;24;6;41;34;28;59;92;29;41;35;95;68;40;44;64;11;27
Explosives workers, ordnance handling experts, and blasters;47-5032;70;27;54;63;41;94;87;27;89;65;81;86;73;81;67;41;33
Continuous mining machine operators;47-5041;26;4;21;32;6;89;93;32;54;12;96;84;52;13;50;13;5
Roof bolters, mining;47-5043;25;3;7;14;8;79;98;19;60;12;96;99;17;32;40;13;7
Loading and moving machine operators, underground mining;47-5044;2;1;7;5;5;34;80;10;28;9;88;81;3;5;36;15;6
Underground mining machine operators, all other[1];47-5049;16;3;16;23;6;80;92;24;47;11;94;86;32;12;46;14;6
Rock splitters, quarry;47-5051;1;4;15;3;0;13;73;17;4;18;70;93;1;2;58;7;3
Roustabouts, oil and gas;47-5071;2;16;22;8;31;23;78;25;67;17;88;95;36;74;47;6;2
Helpers--extraction workers;47-5081;14;16;32;23;35;59;91;41;79;42;98;98;42;82;63;22;23
Extraction workers, all other[1];47-5099;16;13;28;26;25;62;92;41;74;42;93;89;47;49;59;21;19
First-line supervisors of mechanics, installers, and repairers;49-1011;57;53;58;69;47;43;63;52;96;70;91;60;80;96;61;59;56
Computer, automated teller, and office machine repairers;49-2011;30;69;39;50;60;30;75;1;4;5;96;50;59;32;30;39;34
Radio, cellular, and tower equipment installers and repairers;49-2021;61;77;61;45;51;73;81;44;67;58;96;74;44;72;53;33;46
Telecommunications equipment installers and repairers, except line installers;49-2022;52;85;48;61;78;34;83;51;18;59;96;85;85;20;56;43;42
Avionics technicians;49-2091;55;81;56;67;35;84;82;40;54;49;97;54;61;35;80;34;56
Electric motor, power tool, and related repairers;49-2092;40;31;54;52;32;81;96;30;66;58;99;74;64;74;61;11;38
Electrical and electronics installers and repairers, transportation equipment;49-2093;37;45;64;54;23;77;84;40;57;53;92;76;24;39;75;26;29
Electrical and electronics repairers, commercial and industrial equipment;49-2094;37;87;62;64;26;74;80;44;37;72;97;62;50;35;79;34;38
Electrical and electronics repairers, powerhouse, substation, and relay;49-2095;63;71;54;63;15;96;75;49;42;69;97;65;57;49;84;28;45
Electronic equipment installers and repairers, motor vehicles;49-2096;45;46;68;55;66;90;91;39;53;50;94;79;50;45;53;32;39
Audiovisual equipment installers and repairers;49-2097;25;70;59;46;66;17;69;19;41;45;90;63;31;56;34;34;32
Security and fire alarm systems installers;49-2098;67;55;50;47;61;75;63;39;32;31;89;70;81;31;38;37;37
Aircraft mechanics and service technicians;49-3011;54;39;55;65;30;95;90;45;63;48;100;69;86;52;79;28;59
Automotive body and related repairers;49-3021;31;14;76;33;23;83;89;16;31;33;87;88;39;69;48;14;14
Automotive glass installers and repairers;49-3022;24;12;20;7;53;44;65;14;2;10;76;77;9;6;35;4;7
Automotive service technicians and mechanics;49-3023;25;36;29;57;56;78;98;13;17;32;98;82;80;25;59;18;34
Bus and truck mechanics and diesel engine specialists;49-3031;32;40;45;56;23;71;97;22;24;32;99;94;62;28;79;23;20
Farm equipment mechanics and service technicians;49-3041;34;33;41;53;45;76;100;36;11;59;99;95;54;30;76;22;27
Mobile heavy equipment mechanics, except engines;49-3042;27;44;62;51;38;77;100;35;37;69;100;95;65;64;67;12;39
Rail car repairers;49-3043;11;15;47;32;17;35;96;16;32;36;97;97;21;42;50;10;18
Motorboat mechanics and service technicians;49-3051;19;32;30;50;61;64;90;18;10;41;98;79;58;37;78;18;17
Motorcycle mechanics;49-3052;59;40;59;60;61;98;95;37;25;40;99;86;79;68;61;27;30
Outdoor power equipment and other small engine mechanics;49-3053;31;32;50;37;45;34;97;16;14;23;98;73;42;29;74;11;19
Bicycle repairers;49-3091;80;35;53;41;98;87;96;75;45;36;93;66;77;63;48;40;28
Recreational vehicle service technicians;49-3092;31;22;38;44;64;36;87;37;27;9;94;87;42;34;46;34;34
Tire repairers and changers;49-3093;18;17;32;20;74;78;77;25;34;21;83;95;27;29;25;13;10
Mechanical door repairers;49-9011;14;22;48;30;56;26;76;43;34;39;91;93;42;30;23;22;29
Control and valve installers and repairers, except mechanical door;49-9012;21;47;44;41;47;71;72;39;42;38;94;72;42;48;76;28;37
Heating, air conditioning, and refrigeration mechanics and installers;49-9021;36;37;66;58;53;70;87;55;71;49;97;86;71;57;78;29;39
Home appliance repairers;49-9031;40;37;26;47;85;38;85;20;28;45;95;77;58;57;61;32;31
Industrial machinery mechanics;49-9041;42;36;64;50;2;20;99;18;44;42;99;85;29;27;67;8;31
Maintenance workers, machinery;49-9043;18;22;53;27;8;70;72;21;17;36;98;80;17;27;69;10;16
Millwrights;49-9044;55;31;55;48;37;94;98;50;92;77;99;97;59;81;75;28;34
Refractory materials repairers, except brickmasons;49-9045;6;3;10;13;5;26;73;11;25;24;81;96;13;24;40;12;17
Electrical power-line installers and repairers;49-9051;36;20;34;45;49;88;88;37;70;24;95;93;84;11;58;25;23
Telecommunications line installers and repairers;49-9052;54;41;45;43;83;68;70;55;36;26;88;90;46;36;43;38;28
Camera and photographic equipment repairers;49-9061;20;40;63;36;37;75;73;1;1;43;87;29;25;33;45;12;16
Medical equipment repairers;49-9062;47;79;21;50;34;84;74;36;6;66;98;61;57;49;69;17;36
Musical instrument repairers and tuners;49-9063;29;34;90;55;70;82;98;18;15;24;87;50;60;83;60;26;18
Watch and clock repairers;49-9064;11;19;41;40;53;68;99;15;1;15;87;29;33;72;49;5;13
Precision instrument and equipment repairers, all other[1];49-9069;43;67;29;49;38;83;77;33;6;62;97;57;56;52;68;17;34
Maintenance and repair workers, general;49-9071;48;39;63;46;50;42;77;34;49;52;99;91;55;80;52;24;37
Wind turbine service technicians;49-9081;54;80;36;59;24;92;93;43;79;37;100;97;76;66;71;33;40
Coin, vending, and amusement machine servicers and repairers;49-9091;35;43;6;26;56;14;78;9;1;25;87;65;38;24;45;9;16
Commercial divers;49-9092;62;25;62;56;36;86;89;52;79;38;94;96;57;54;84;49;39
Locksmiths and safe repairers;49-9094;78;45;57;32;79;57;98;39;46;54;95;72;44;90;22;35;32
Manufactured building and mobile home installers;49-9095;70;9;81;47;74;66;100;67;97;64;97;100;85;96;75;29;43
Riggers;49-9096;26;26;39;31;44;84;80;39;42;6;87;94;38;12;58;33;20
Signal and track switch repairers;49-9097;23;34;3;31;8;45;93;9;15;50;98;82;41;16;33;14;24
Helpers--installation, maintenance, and repair workers;49-9098;20;29;16;26;33;51;77;36;30;33;94;92;36;14;60;17;3
Installation, maintenance, and repair workers, all other[1];49-9099;43;37;56;46;42;49;85;36;48;48;98;89;52;60;61;23;33
First-line supervisors of production and operating workers;51-1011;59;46;68;73;47;56;50;64;97;65;75;54;86;90;54;77;53
Aircraft structure, surfaces, rigging, and systems assemblers;51-2011;37;29;51;39;15;83;87;34;37;52;88;78;26;67;68;23;28
Coil winders, tapers, and finishers;51-2021;15;12;17;16;14;90;76;25;26;27;60;58;12;16;62;16;13
Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers;51-2028;4;21;11;21;10;40;83;7;34;16;72;54;14;21;39;9;30
Engine and other machine assemblers;51-2031;11;25;36;28;24;77;83;35;17;25;87;81;16;9;52;11;13
Structural metal fabricators and fitters;51-2041;11;7;20;14;18;58;71;26;10;48;70;67;16;2;57;10;7
Fiberglass laminators and fabricators;51-2051;21;9;38;15;15;36;78;14;55;45;67;93;6;27;74;19;27
Timing device assemblers and adjusters;51-2061;3;23;28;18;11;5;67;3;3;32;87;26;23;9;40;2;13
Miscellaneous assemblers and fabricators[1];51-2090;18;29;23;26;10;38;77;30;49;28;68;67;21;29;47;26;26
Bakers;51-3011;13;16;41;15;33;42;65;29;23;41;41;57;16;23;50;20;12
Butchers and meat cutters;51-3021;18;17;10;15;92;59;87;52;68;43;59;75;35;66;22;14;10
Meat, poultry, and fish cutters and trimmers;51-3022;11;13;29;8;50;80;84;47;71;45;66;74;13;50;71;17;9
Slaughterers and meat packers;51-3023;10;2;6;1;16;33;86;3;14;13;49;73;0;6;43;1;0
Food and tobacco roasting, baking, and drying machine operators and tenders;51-3091;7;23;12;27;22;69;69;29;41;2;74;69;20;21;36;20;32
Food batchmakers;51-3092;32;31;13;31;2;61;66;36;31;53;67;65;15;8;78;25;36
Food cooking machine operators and tenders;51-3093;19;27;5;17;7;37;73;2;13;15;61;66;27;25;50;6;39
Food processing workers, all other[1];51-3099;15;18;22;14;35;56;73;34;38;41;57;66;14;26;59;18;14
Extruding and drawing machine setters, operators, and tenders, metal and plastic;51-4021;18;24;20;23;6;76;82;18;44;54;80;92;59;25;26;9;11
Forging machine setters, operators, and tenders, metal and plastic;51-4022;17;25;52;20;11;61;75;19;45;43;84;66;23;9;63;29;32
Rolling machine setters, operators, and tenders, metal and plastic;51-4023;35;27;32;42;19;73;93;22;61;41;95;86;48;38;45;25;24
Cutting, punching, and press machine setters, operators, and tenders, metal and plastic;51-4031;4;12;36;21;4;61;82;2;15;44;83;82;22;11;28;6;19
Drilling and boring machine tool setters, operators, and tenders, metal and plastic;51-4032;39;37;42;42;5;93;85;2;12;75;89;63;35;4;66;15;34
Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic;51-4033;10;32;9;19;8;59;98;10;24;59;84;71;23;33;32;6;19
Lathe and turning machine tool setters, operators, and tenders, metal and plastic;51-4034;13;24;24;18;2;57;88;7;24;52;84;71;17;7;37;8;18
Milling and planing machine setters, operators, and tenders, metal and plastic;51-4035;27;28;25;31;8;67;84;6;22;65;85;79;6;10;51;9;25
Machinists;51-4041;17;28;47;40;4;77;97;5;25;73;89;67;33;33;47;7;20
Metal-refining furnace operators and tenders;51-4051;20;17;18;35;7;75;90;18;50;48;85;84;31;36;74;16;24
Pourers and casters, metal;51-4052;6;13;27;17;3;35;83;14;36;17;83;77;13;47;71;12;12
Model makers, metal and plastic;51-4061;34;33;55;40;21;96;75;1;21;66;86;62;33;18;51;11;25
Patternmakers, metal and plastic;51-4062;22;33;40;28;5;73;77;0;16;52;78;59;14;18;36;7;16
Foundry mold and coremakers;51-4071;11;8;12;11;5;54;71;5;19;20;67;90;13;15;77;3;1
Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic;51-4072;9;19;10;24;1;48;84;9;23;41;85;87;10;9;48;19;27
Multiple machine tool setters, operators, and tenders, metal and plastic;51-4081;60;39;54;45;9;79;84;37;50;56;92;70;19;55;42;13;32
Tool and die makers;51-4111;44;32;67;48;1;93;82;1;21;65;88;55;56;18;43;11;24
Welders, cutters, solderers, and brazers;51-4121;2;6;14;14;2;57;76;4;6;30;63;64;7;5;51;0;1
Welding, soldering, and brazing machine setters, operators, and tenders;51-4122;4;7;19;16;1;19;81;7;26;38;78;77;8;23;51;18;10
Heat treating equipment setters, operators, and tenders, metal and plastic;51-4191;9;27;8;21;10;32;87;10;36;65;83;93;12;8;70;19;26
Layout workers, metal and plastic;51-4192;14;19;49;39;27;85;72;19;46;90;78;76;16;36;46;10;32
Plating machine setters, operators, and tenders, metal and plastic;51-4193;12;12;36;26;14;69;74;15;51;36;74;72;13;17;84;19;26
Tool grinders, filers, and sharpeners;51-4194;10;23;38;34;9;71;99;3;14;73;89;71;21;34;43;1;16
Metal workers and plastic workers, all other[1];51-4199;12;19;28;27;4;66;86;7;19;50;80;72;17;16;47;6;13
Prepress technicians and workers;51-5111;49;70;81;36;23;73;58;13;40;37;62;24;20;46;24;22;36
Printing press operators;51-5112;13;28;32;29;35;77;87;17;59;24;93;74;51;89;28;15;24
Print binding and finishing workers;51-5113;16;17;25;28;14;63;77;11;42;27;84;77;31;20;25;15;37
Laundry and dry-cleaning workers;51-6011;2;4;3;3;21;4;57;41;35;5;60;72;3;37;40;14;4
Pressers, textile, garment, and related materials;51-6021;9;5;34;2;20;16;75;9;5;3;65;76;0;20;18;0;0
Sewing machine operators;51-6031;2;2;4;4;1;10;91;2;3;12;58;51;2;8;6;0;4
Shoe and leather workers and repairers;51-6041;1;7;23;17;33;16;84;33;12;3;58;58;13;15;18;2;11
Shoe machine operators and tenders;51-6042;31;3;32;15;0;1;89;4;7;21;75;74;6;9;45;8;6
Sewers, hand;51-6051;6;16;90;14;49;54;97;2;2;45;47;29;20;83;9;0;7
Tailors, dressmakers, and custom sewers;51-6052;16;6;64;10;49;45;95;17;2;21;59;45;28;31;15;22;13
Textile bleaching and dyeing machine operators and tenders;51-6061;1;14;5;13;3;48;84;0;6;39;75;75;20;15;29;8;18
Textile cutting machine setters, operators, and tenders;51-6062;9;20;14;22;3;75;74;8;27;26;83;77;4;28;15;3;12
Textile knitting and weaving machine setters, operators, and tenders;51-6063;23;18;16;15;7;28;95;6;23;6;76;79;6;10;14;10;12
Textile winding, twisting, and drawing out machine setters, operators, and tenders;51-6064;7;10;6;12;2;21;96;2;9;20;77;90;2;6;14;8;5
Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers;51-6091;20;32;14;28;13;55;86;7;40;34;85;68;35;17;38;24;22
Fabric and apparel patternmakers;51-6092;59;43;93;64;7;90;70;24;30;94;48;48;55;37;23;27;46
Upholsterers;51-6093;8;2;56;26;38;25;97;26;26;49;68;90;14;63;24;9;21
Textile, apparel, and furnishings workers, all other[1];51-6099;4;6;11;6;14;11;77;15;15;11;63;66;3;24;24;5;5
Cabinetmakers and bench carpenters;51-7011;15;5;39;40;37;32;96;4;7;85;85;91;27;28;37;3;25
Furniture finishers;51-7021;8;7;68;30;13;40;94;45;51;18;65;89;26;47;39;16;14
Model makers, wood;51-7031;38;16;84;57;22;87;88;14;27;59;58;68;52;38;32;27;39
Patternmakers, wood;51-7032;22;29;72;44;21;75;95;6;15;86;80;68;47;59;45;18;27
Sawing machine setters, operators, and tenders, wood;51-7041;10;5;10;10;0;50;85;6;19;21;80;79;9;7;9;0;2
Woodworking machine setters, operators, and tenders, except sawing;51-7042;3;9;15;13;3;52;92;0;6;38;82;87;13;3;32;9;3
Woodworkers, all other[1];51-7099;9;6;28;27;13;42;93;3;10;56;82;88;19;14;29;4;11
Nuclear power reactor operators;51-8011;65;67;17;68;9;99;54;18;73;77;67;27;69;36;90;55;66
Power distributors and dispatchers;51-8012;56;50;39;69;47;91;45;33;78;64;70;38;89;50;57;43;59
Power plant operators;51-8013;42;42;30;52;8;92;64;35;32;29;88;60;50;18;72;38;40
Stationary engineers and boiler operators;51-8021;42;49;47;44;31;83;63;31;73;35;95;66;59;60;86;34;38
Water and wastewater treatment plant and system operators;51-8031;20;51;20;50;29;79;51;42;49;77;93;57;66;55;94;36;50
Chemical plant and system operators;51-8091;14;38;1;48;6;94;81;10;39;61;79;66;68;5;85;27;42
Gas plant operators;51-8092;41;57;27;54;20;93;64;35;52;66;87;56;64;60;76;24;41
Petroleum pump system operators, refinery operators, and gaugers;51-8093;29;39;18;42;9;85;71;30;43;65;84;73;42;20;71;12;39
Plant and system operators, all other[1];51-8099;29;47;22;50;22;86;59;35;51;62;90;60;62;43;87;33;45
Chemical equipment operators and tenders;51-9011;31;54;16;51;13;82;68;50;75;65;86;75;53;31;87;32;52
Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders;51-9012;13;25;12;33;14;54;70;5;20;55;82;82;32;20;80;12;20
Crushing, grinding, and polishing machine setters, operators, and tenders;51-9021;12;15;13;30;9;52;74;36;53;57;91;85;15;34;65;17;30
Grinding and polishing workers, hand;51-9022;27;18;80;19;10;70;99;31;27;24;91;76;11;84;19;6;25
Mixing and blending machine setters, operators, and tenders;51-9023;2;18;3;11;6;77;82;6;57;29;88;81;31;16;65;7;33
Cutters and trimmers, hand;51-9031;0;4;1;1;0;25;70;5;16;14;48;62;1;4;9;2;5
Cutting and slicing machine setters, operators, and tenders;51-9032;5;28;7;27;11;61;98;13;54;55;86;88;23;23;33;3;27
Extruding, forming, pressing, and compacting machine setters, operators, and tenders;51-9041;25;31;33;32;11;55;82;28;38;34;88;84;23;11;71;20;28
Furnace, kiln, oven, drier, and kettle operators and tenders;51-9051;13;22;13;22;1;70;70;8;37;28;74;76;14;11;61;25;29
Inspectors, testers, sorters, samplers, and weighers;51-9061;58;45;27;41;33;60;57;27;39;53;65;61;35;23;64;28;34
Jewelers and precious stone and metal workers;51-9071;21;10;93;42;45;68;94;7;5;52;61;27;30;71;57;7;6
Dental laboratory technicians;51-9081;49;31;84;45;23;80;97;42;63;10;73;34;32;75;71;16;41
Medical appliance technicians;51-9082;18;31;75;60;48;53;91;60;42;63;79;65;55;56;80;56;44
Ophthalmic laboratory technicians;51-9083;22;31;12;24;43;29;97;39;15;39;70;45;19;16;47;5;27
Packaging and filling machine operators and tenders;51-9111;6;19;32;12;23;68;81;21;42;34;77;79;26;10;50;18;19
Painting, coating, and decorating workers;51-9123;1;7;18;4;12;4;61;11;7;8;37;51;3;34;42;3;8
Coating, painting, and spraying machine setters, operators, and tenders;51-9124;26;13;6;21;5;19;95;13;25;4;83;84;21;40;26;1;13
Semiconductor processing technicians;51-9141;21;35;31;39;15;71;68;38;43;22;77;64;8;21;64;23;41
Photographic process workers and processing machine operators;51-9151;46;47;73;37;75;32;66;46;18;29;78;58;19;69;47;31;29
Computer numerically controlled tool operators;51-9161;26;35;46;55;3;84;90;5;22;84;93;69;43;23;63;19;23
Computer numerically controlled tool programmers;51-9162;23;97;71;67;14;83;67;9;52;93;82;48;62;70;64;20;47
Adhesive bonding machine operators and tenders;51-9191;8;29;4;22;13;71;94;13;33;51;90;95;23;16;55;24;26
Cleaning, washing, and metal pickling equipment operators and tenders;51-9192;5;21;9;12;4;8;64;16;21;7;72;83;11;14;55;3;8
Cooling and freezing equipment operators and tenders;51-9193;32;33;17;37;8;33;72;29;59;54;91;77;47;43;70;21;35
Etchers and engravers;51-9194;10;35;72;34;23;74;84;15;17;23;76;55;10;45;30;20;21
Molders, shapers, and casters, except metal and plastic;51-9195;13;10;10;8;7;49;78;12;14;38;77;92;2;17;40;13;28
Paper goods machine setters, operators, and tenders;51-9196;12;15;18;18;17;43;81;31;57;40;81;68;34;31;20;21;15
Tire builders;51-9197;5;14;7;8;22;32;95;3;33;10;73;94;6;41;42;5;5
Helpers--production workers;51-9198;3;12;3;7;3;28;79;14;8;22;72;86;3;12;30;5;6
Production workers, all other[1];51-9199;23;29;24;31;16;59;76;20;35;43;77;71;26;23;58;19;25
Aircraft cargo handling supervisors;53-1041;72;61;58;53;90;89;54;64;96;77;69;83;86;82;63;60;42
First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors[1];53-1047;56;53;62;63;68;70;49;63;98;64;71;54;87;90;58;63;53
Airline pilots, copilots, and flight engineers;53-2011;97;44;13;84;43;99;99;45;58;86;76;45;93;29;77;78;61
Commercial pilots;53-2012;74;38;25;72;67;97;88;57;62;62;75;53;88;40;73;62;49
Air traffic controllers;53-2021;91;34;71;92;73;100;54;39;64;79;31;13;98;25;43;90;56
